name,iter,initial_cost,final_cost,compression,total time,time without last rd,mem
list_list_hard_test_ellisk_2019-02-15T11.39.19,bench011_it14.json,809,808,1.0012376237623761,84.7,28.135,320312
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench000_it0.json,136,121,1.1239669421487604,46.52,28.92,557912
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench001_it1.json,252,240,1.05,48.3,26.951,157860
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench002_it2.json,304,298,1.0201342281879195,41.94,16.39,154852
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench003_it3.json,428,418,1.0239234449760766,70.53999999999999,31.124,414724
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench004_it4.json,479,492,0.9735772357723578,90.4,36.981,282764
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench005_it5.json,589,589,1.0,140.38,71.866,311284
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench006_it6.json,672,662,1.0151057401812689,146.56,74.053,327816
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench007_it7.json,762,751,1.014647137150466,121.55,47.611,377240
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench008_it8.json,832,835,0.9964071856287425,146.42000000000002,62.555,341984
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench009_it13.json,1071,1078,0.9935064935064936,144.38,54.758,451400
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench010_it17.json,1028,1029,0.9990281827016521,147.44,59.295,364472
list_list_hard_test_ellisk_2019-02-15T11.43.28,bench011_it19.json,1009,1007,1.0019860973187686,186.9,84.367,301372
logo_logo_batch_50_1h_ellisk_2019-03-23T14.02.03,bench000_it0.json,738,575,1.2834782608695652,3387.47,2327.838,5066568
logo_logo_batch_50_1h_ellisk_2019-03-23T14.02.03,bench001_it1.json,767,645,1.1891472868217055,1457.25,1012.591,1614436
logo_logo_batch_50_1h_ellisk_2019-03-23T14.02.03,bench002_it8.json,871,819,1.0634920634920635,925.05,621.151,904484
logo_logo_batch_50_1h_ellisk_2019-03-23T14.02.03,bench003_it13.json,846,812,1.041871921182266,386.32,225.438,526344
logo_logo_batch_50_1h_ellisk_2019-03-23T14.05.43,bench000_it0.json,842,632,1.3322784810126582,3393.98,2457.333,6536860
logo_logo_batch_50_1h_ellisk_2019-03-23T14.05.43,bench001_it1.json,945,820,1.1524390243902438,1939.88,1338.1380000000001,3046608
logo_logo_batch_50_1h_ellisk_2019-03-23T14.09.23,bench000_it1.json,1146,816,1.4044117647058822,3446.92,2497.623,8429036
logo_logo_batch_50_1h_ellisk_2019-03-23T14.09.23,bench001_it3.json,1093,897,1.2185061315496097,1581.55,1115.602,1334604
